TRAINTMS,VALIDTMS,RMSE,MAE
2006-01-01 01:00:00,2010-11-01,13.1512572727544,10.9301790083145
2006-01-01 01:00:00,2010-11-01,13.1512572727544,10.9301790083145
2006-01-01 01:00:00,2011-03-01,12.8435837979948,10.5234198848954
2006-01-01 01:00:00,2010-08-01,4.91858635695677,3.89333672811927
,,0,0
,,0,0
,,0,0
,,0,0
2009-12-01 01:00:00,2010-11-01,10.2999096103279,8.32824255814033
2009-12-01 01:00:00,2010-09-01,19.0406663147919,17.6881706925892
2009-12-01 01:00:00,2010-05-01,17.315607252235,16.0190270213402
2009-12-01 01:00:00,2011-03-01,13.4628971752389,10.5942044940899
2009-04-01 01:00:00,2010-11-01,10.4099984023086,8.68013091317689
2009-04-01 01:00:00,2010-12-01,12.6501242195142,11.3202456452831
2009-04-01 01:00:00,2011-03-01,11.4893068953078,9.22969743852675
2009-04-01 01:00:00,2010-09-01,6.93039760727701,5.95148165579979
,,0,0
,,0,0
,,0,0
,,0,0
2006-07-01 01:00:00,2010-12-01,12.5282691988843,10.995086047199
2006-07-01 01:00:00,2011-03-01,11.2657145837678,8.91238791309014
2006-07-01 01:00:00,2010-07-01,6.75473960011664,5.69128842279284
2006-07-01 01:00:00,2011-04-01,10.4256955232861,8.64716582869102
2006-12-01 01:00:00,2011-01-01,15.1224190713859,12.8902684228957
2006-12-01 01:00:00,2010-09-01,6.82637575163086,5.53957803128462
2006-12-01 01:00:00,2010-10-01,10.9824364772281,9.32569901622378
2006-12-01 01:00:00,2011-04-01,9.24283743851211,7.35052461398324
2009-07-01 01:00:00,2011-03-01,11.1039326274305,8.8289647490975
2009-07-01 01:00:00,2010-05-01,8.85188230932887,7.32867389954481
2009-07-01 01:00:00,2011-04-01,9.85958620007403,8.13844704388599
2009-07-01 01:00:00,2010-05-01,8.85188230932887,7.32867389954481
,,0,0
,,0,0
,,0,0
,,0,0
2008-05-01 01:00:00,2010-11-01,10.5756029133627,8.95846247805654
2008-05-01 01:00:00,2010-12-01,15.0203139151294,13.6088785657052
2008-05-01 01:00:00,2011-03-01,10.8138103485441,8.79381723507139
2008-05-01 01:00:00,2011-01-01,12.3833301402377,10.5909639569197
2008-08-01 01:00:00,2010-08-01,6.46484293241709,5.50753971002596
2008-08-01 01:00:00,2011-04-01,10.2212536406435,8.6034930104681
2008-08-01 01:00:00,2010-12-01,12.1912120839451,10.8875361786817
2008-08-01 01:00:00,2010-07-01,8.04615871947614,6.91769096363234
2010-02-01 01:00:00,2010-10-01,12.1519829556636,9.4119146154638
2010-02-01 01:00:00,2011-04-01,13.9443991456832,12.0330274617507
2010-02-01 01:00:00,2010-11-01,10.7801157035789,8.37269045745373
2010-02-01 01:00:00,2011-04-01,13.9443991456832,12.0330274617507
2009-09-01 01:00:00,2011-01-01,11.9557977951506,9.99833526701106
2009-09-01 01:00:00,2010-09-01,8.06096620226614,6.90592574398269
2009-09-01 01:00:00,2010-11-01,10.3465792121528,8.50909513005722
2009-09-01 01:00:00,2010-10-01,10.0684639837675,8.19637156004694
2006-09-01 01:00:00,2010-07-01,7.19104964165554,6.09148697173595
2006-09-01 01:00:00,2010-07-01,7.19104964165554,6.09148697173595
2006-09-01 01:00:00,2011-04-01,10.4782096218048,8.71156611697785
2006-09-01 01:00:00,2010-12-01,10.4857779965143,9.0600573827543
2007-07-01 01:00:00,2011-02-01,12.0054823075298,9.47104877311776
2007-07-01 01:00:00,2010-07-01,6.72304401808662,5.54556488572556
2007-07-01 01:00:00,2010-12-01,13.5361918369692,12.0031784771023
2007-07-01 01:00:00,2011-01-01,11.3776796327518,9.44099073575968
2006-12-01 01:00:00,2010-06-01,4.61003920341643,3.64414863765769
2006-12-01 01:00:00,2011-02-01,11.8758548117685,9.84159020561327
2006-12-01 01:00:00,2010-07-01,5.46586025274985,4.24373052386947
2006-12-01 01:00:00,2010-05-01,7.98567901471437,6.36693437165309
2008-09-01 01:00:00,2010-07-01,9.00910588673164,7.77477021292615
2008-09-01 01:00:00,2010-09-01,8.68213744691439,7.28494510152262
2008-09-01 01:00:00,2011-01-01,16.2887311784729,14.6925698719951
2008-09-01 01:00:00,2011-03-01,11.6393733341486,9.64072726060548
2009-07-01 01:00:00,2010-12-01,12.9136083663935,11.2834391125215
2009-07-01 01:00:00,2011-02-01,12.3345082434684,9.61621359369563
2009-07-01 01:00:00,2010-08-01,4.60156546473652,3.66529301523952
2009-07-01 01:00:00,2011-01-01,10.5445067155698,8.53596689371839
2009-07-01 01:00:00,2011-04-01,9.85958620007403,8.13844704388599
2009-07-01 01:00:00,2010-09-01,8.16998070295262,6.90654573838513
2009-07-01 01:00:00,2010-07-01,6.41173448301757,5.26121128697687
2009-07-01 01:00:00,2010-05-01,8.85188230932887,7.32867389954481
2007-06-01 01:00:00,2010-07-01,5.72126602726401,4.59904912911427
2007-06-01 01:00:00,2011-04-01,10.0396337444205,8.19893820103435
2007-06-01 01:00:00,2011-04-01,10.0396337444205,8.19893820103435
2007-06-01 01:00:00,2010-09-01,6.59189285243277,5.58204022605781
