Tasks,Startdate,#1 Leaderboard,Benchmark,Submissions,LM Model (Mean Features),"s(CTEMP, k=24) + DAYT + s(HOUR, by=DAYT, k=24) + s(TOY, k=52) + s(WLAG5, TOY, k=52) + s(WLAG52, k=24)",with true temp,true temp from last month,true temp from last year
,,,,,,,,,
4,01.01.2011,10.43689,18.73837,,,18.17248489,6.820613,16.47836,18.44009
5,01.02.2011,8.91363,22.75848,,,10.89025851,4.288332,,11.76462
6,01.03.2011,7.39327,13.21626,,,10.73805972,4.332799,,
7,01.04.2011,4.2643,8.36256,5.05759,5.05759,9.355808451,4.815641,,
8,01.05.2011,5.39357,10.91619,7.79521,7.79521,7.072721735,4.458294,,
9,01.06.2011,6.18782,16.99368,9.39221,9.39221,18.87217085,8.309644,,18.8188
10,01.07.2011,7.3182,13.40383,,,,,,
